epochs,accuracy,accuracy@3,precision,recall,F1_score,data_type
0,0.5560811651935765,0.865803560313706,"[0.4538526672307757, 0.664516129030829, 0.5267857142847736, 0.48729281767901955, 0.4787234042502263, 0.6625077978785636, 0.3347107438002698, 0.6042810098789219, 0.5883777239695197, 0.4805491990835685, 0.4630225080370964]","[0.3388116308468149, 0.6255060728732277, 0.6120331950194772, 0.3994565217387686, 0.29032258064328825, 0.8027210884347674, 0.4525139664779189, 0.7814052519511843, 0.376160990711492, 0.5440414507757927, 0.5274725274705954]","[0.3879840747907431, 0.6444212716576118, 0.5662188094825211, 0.43902438974837127, 0.3614457826596345, 0.7259056727781767, 0.38479809927183894, 0.6815227478828636, 0.4589235122712128, 0.5103280675444222, 0.49315068443193494]",validation
2,0.5685298145151251,0.8725258309473423,"[0.4302045728035919, 0.6172006745352155, 0.6024390243887745, 0.41307277628004513, 0.4324324324295106, 0.7073002754816066, 0.7307692307411242, 0.6804613297145994, 0.6886792452808532, 0.6050955413993468, 0.6842105263112881]","[0.45195954487961315, 0.7408906882576095, 0.5124481327790198, 0.5552536231879028, 0.41290322580378774, 0.776266061979761, 0.10614525139605506, 0.7118523775722414, 0.3390092879251718, 0.4922279792733362, 0.38095238095098555]","[0.44081380961100636, 0.6734130629803693, 0.553811658694841, 0.47372488359078463, 0.4224422437219009, 0.7401801796807272, 0.18536585343524095, 0.6958029825035869, 0.45435684602997106, 0.5428571423608817, 0.4894117642441079]",validation
4,0.5757500311216233,0.8811153989792108,"[0.4882629107976636, 0.6547842401488654, 0.5143824027064055, 0.5192307692301819, 0.45283018867497327, 0.6782945736429726, 0.4656488549582775, 0.6509661835744861, 0.4879227053134204, 0.4754098360645996, 0.5911330049231964]","[0.32869785082153685, 0.7064777327920921, 0.6307053941895628, 0.4157608695648408, 0.3096774193528408, 0.7936507936501938, 0.34078212290312415, 0.7650816181683712, 0.6253869969030567, 0.6010362694284948, 0.43956043955882945]","[0.3928976194658871, 0.6796494639589886, 0.5666356006224632, 0.46177062324811347, 0.36781609146882754, 0.7314524550929479, 0.39354838660622277, 0.703425774380439, 0.5481682491676659, 0.530892448018181, 0.5042016801809636]",validation
6,0.5811029503298892,0.8842275613095979,"[0.43630769230742383, 0.5731523378573558, 0.6185567010293337, 0.5167785234893548, 0.5714285714227405, 0.6834300451317321, 0.43209876542943154, 0.6600372902419763, 0.6227897838887568, 0.6349809885907416, 0.5350553505515312]","[0.4481668773701339, 0.7692307692292121, 0.49792531120228645, 0.41847826086918616, 0.3612903225783143, 0.8012093726373385, 0.3910614525117818, 0.7537260468411968, 0.49071207430264596, 0.4326424870455113, 0.5311355311335856]","[0.4421577793563779, 0.6568712181785037, 0.5517241374356031, 0.4624624619675231, 0.4426877465574529, 0.7376478770252499, 0.4105571842495679, 0.7037773354858247, 0.5489177484238331, 0.5146379039847864, 0.5330882347921645]",validation
8,0.5804805178638118,0.8770073447030997,"[0.47094801223205585, 0.608974358973383, 0.5771812080524, 0.47576301615756217, 0.39459459459246166, 0.6695174098957425, 0.42483660130441286, 0.7101769911499187, 0.5499254843508943, 0.5439560439545496, 0.6609195402260867]","[0.3893805309732052, 0.7692307692292121, 0.535269709542458, 0.4800724637676811, 0.4709677419324454, 0.8284202569910594, 0.3631284916180831, 0.6834634492543056, 0.571207430339673, 0.5129533678743188, 0.42124542124387826]","[0.42629757735887075, 0.679785330453666, 0.5554359521367582, 0.47790802474755034, 0.4294117642072492, 0.7405405400456666, 0.3915662645609487, 0.6965641947980524, 0.5603644641918121, 0.5279999994990221, 0.5145413865468322]",validation
10,0.5769948960537782,0.8814888584588572,"[0.443292682926559, 0.595637583891618, 0.6094674556194987, 0.4963119072702884, 0.46052631578644393, 0.6385885031299724, 0.5135135135065741, 0.6984679665733298, 0.593309859153885, 0.5386740331476833, 0.6894409937845377]","[0.45954487989857173, 0.7186234817799219, 0.4273858921152959, 0.42663043478222223, 0.4516129032228928, 0.8480725623576356, 0.21229050279211012, 0.7118523775722414, 0.5216718266245794, 0.5051813471489504, 0.4065934065919173]","[0.4512725010517131, 0.6513761462921741, 0.5024390239044377, 0.4588407203986524, 0.45602605812899877, 0.7285714280808832, 0.30039525650074206, 0.7050966603079852, 0.5551894558438183, 0.5213903738306715, 0.5115207368581303]",validation
12,0.5712685173658658,0.8801195070334868,"[0.45427509293646523, 0.5558739255006363, 0.6053333333317191, 0.5055079559357338, 0.595238095231009, 0.672761664564519, 0.3895348837186655, 0.6670926517567622, 0.5031685678067134, 0.5552238805953575, 0.5205992509343798]","[0.3862199747153058, 0.785425101212985, 0.47095435684549597, 0.3740942028982119, 0.3225806451592092, 0.8065003779283397, 0.3743016759755626, 0.7409510290981257, 0.6145510835903799, 0.4818652849728449, 0.5091575091556442]","[0.4174923124514041, 0.6510067109229483, 0.5297549586664179, 0.4299843826444972, 0.4184100413816285, 0.7335854240480995, 0.3817663812644053, 0.7020847338653958, 0.5533101040338108, 0.5159500688491981, 0.5148148143129698]",validation
14,0.56977467944728,0.8687912361508776,"[0.43525179856089014, 0.6901709401694655, 0.6261980830650921, 0.4566037735844749, 0.617977528082944, 0.6832339297543517, 0.47058823528719723, 0.6992857142852148, 0.4824063564126193, 0.5457317073154093, 0.5903614457807617]","[0.4589127686469918, 0.6538461538448302, 0.40663900414853393, 0.43840579710105215, 0.3548387096751301, 0.7792894935746189, 0.17877094971967167, 0.6948190205814799, 0.6578947368410869, 0.4637305699469852, 0.5384615384595661]","[0.44676923026930593, 0.6715176710166406, 0.4930817605276437, 0.4473197776883331, 0.45081967166403525, 0.728107344134411, 0.25910931133976955, 0.6970452113186616, 0.5566470198123573, 0.5014005597259845, 0.5632183903034967]",validation
16,0.5670359765965393,0.869911614589817,"[0.4605160281466298, 0.7250673854427896, 0.5777126099689803, 0.4377387318560445, 0.4803921568580354, 0.6587009803917533, 0.37078651685184955, 0.6763317599455992, 0.56656804733644, 0.5340314136111675, 0.524999999998125]","[0.3723135271805485, 0.5445344129543633, 0.40871369294521015, 0.5190217391299646, 0.316129032256025, 0.8125472411180555, 0.36871508379682283, 0.7118523775722414, 0.5928792569650265, 0.5284974093250557, 0.5384615384595661]","[0.41174414490902533, 0.621965317427747, 0.4787363300116901, 0.47492747567395693, 0.3813229567167406, 0.7275803717553979, 0.3697478986575964, 0.6936376205233609, 0.5794251129638287, 0.53124999949863, 0.5316455691184105]",validation
18,0.5634258682932902,0.8700361010830325,"[0.46425765907269106, 0.6682242990638593, 0.6082191780805254, 0.4285714285711029, 0.44370860926858474, 0.652014652014254, 0.333333333331675, 0.6730515191541129, 0.5514333895437581, 0.5929824561382703, 0.5427509293660121]","[0.3735777496837082, 0.5789473684198807, 0.460580912862115, 0.5108695652169286, 0.4322580645133403, 0.8072562358270542, 0.3743016759755626, 0.7232079488994158, 0.5061919504636128, 0.43782383419575693, 0.5347985347965758]","[0.4140105073864776, 0.6203904550326697, 0.5242030691659177, 0.4661157019827909, 0.4379084962292495, 0.7213779123724461, 0.3526315784471884, 0.6972288739442325, 0.5278450358196753, 0.503725781924134, 0.5387453869519138]",validation
20,0.5687787875015561,0.865554587327275,"[0.4285714285711589, 0.6328871892913329, 0.5739910313888476, 0.4983818770221161, 0.45578231292206955, 0.6876675603212549, 0.3205128205114508, 0.6649417852518338, 0.586879432623073, 0.5919117647037062, 0.5153583617729851]","[0.4304677623258973, 0.6700404858286032, 0.5311203319491056, 0.41847826086918616, 0.4322580645133403, 0.7755102040810465, 0.4189944134054805, 0.7295954577709514, 0.5123839009279995, 0.4170984455947744, 0.5531135531115271]","[0.42951750186491605, 0.6509341194597951, 0.5517241374305979, 0.4549483008327439, 0.44370860876893564, 0.7289520421300585, 0.3631961254150989, 0.6957698810572873, 0.5471074375179209, 0.4893617016411803, 0.5335689040923784]",validation
22,0.5650441927050915,0.8648076683679821,"[0.44996293550745, 0.6912114014235363, 0.4766505636063178, 0.471999999999528, 0.4213483146043745, 0.6815456362420509, 0.4469696969663109, 0.6445409429276399, 0.6209523809511982, 0.522427440631867, 0.4857142857127438]","[0.3836915297089863, 0.5890688259097387, 0.6141078838161533, 0.42753623188367074, 0.4838709677388138, 0.773242630384903, 0.32960893854564466, 0.7374024130583837, 0.504643962847516, 0.5129533678743188, 0.5604395604375075]","[0.41419310765709066, 0.636065573272284, 0.5367180412114098, 0.4486692010217077, 0.45045044995013034, 0.7245042487932579, 0.37942122137393125, 0.6878517042353343, 0.5567890686760357, 0.5176470583222179, 0.5204081627660869]",validation
24,0.5576994896053779,0.8584588572139923,"[0.44769230769196333, 0.6989247311809169, 0.5347912524840263, 0.48559670781843045, 0.45801526717207625, 0.6774847870177975, 0.3636363636344191, 0.6253026634378781, 0.5136186770421354, 0.49135802469014483, 0.5325670498063887]","[0.3678887484194893, 0.5263157894726188, 0.5580912863058961, 0.42753623188367074, 0.38709677419105104, 0.7573696145118992, 0.3798882681543023, 0.7331440738106934, 0.6130030959742833, 0.5155440414494417, 0.5091575091556442]","[0.40388618965023904, 0.6004618932729706, 0.5461928929001334, 0.45472061607191094, 0.4195804190810065, 0.7152034256252363, 0.3715846989517603, 0.6749428286435137, 0.5589273107239913, 0.5031605557569178, 0.5205992504346323]",validation
26,0.5553342462342836,0.8602016681190091,"[0.4165067178500214, 0.683574879225402, 0.5071942446034043, 0.4798728813554239, 0.4369747899122943, 0.7005307050790747, 0.4873949579790975, 0.6426351771282519, 0.5425219941341018, 0.5253333333319324, 0.47147147147005564]","[0.41150442477850097, 0.5728744939259659, 0.5850622406626866, 0.4103260869561501, 0.3354838709655775, 0.6984126984121705, 0.3240223463669049, 0.7338537970186417, 0.5727554179557698, 0.510362694299196, 0.5750915750894685]","[0.4139904605490396, 0.6233480171236537, 0.5433526006575636, 0.44238281200261975, 0.3795620433014812, 0.6994700979097668, 0.38926174448409984, 0.6852220008271228, 0.5572289151621789, 0.5177398155302813, 0.5181518146847095]",validation
28,0.5491099215735092,0.8547242624175277,"[0.45642795513334217, 0.6528599605509806, 0.5536992840082251, 0.4340101522838968, 0.41007194244309303, 0.679442508710328, 0.3311688311666807, 0.5697252462412806, 0.5589743589734034, 0.5214899713452107, 0.657142857139102]","[0.33438685208575575, 0.6700404858286032, 0.48132780082887694, 0.4646739130430574, 0.36774193548149847, 0.7369614512466085, 0.28491620111572674, 0.7799858055352874, 0.5061919504636128, 0.4715025906723536, 0.42124542124387826]","[0.3859905139224252, 0.6613386608374244, 0.5149833513326, 0.4488188971379848, 0.3877551015396594, 0.7070340821689122, 0.3063063058072848, 0.6584781301288753, 0.531275385365515, 0.4952380947380147, 0.5133928566644909]",validation
30,0.5545873272749907,0.8534793974853728,"[0.4323550465279654, 0.6347992351804306, 0.5371549893831483, 0.4568527918777088, 0.33023255813799895, 0.6797297297292705, 0.3446601941730842, 0.659235668789389, 0.5589836660606915, 0.4999999999986842, 0.5294117647038062]","[0.38179519595424666, 0.6720647773265748, 0.524896265559077, 0.4076086956518047, 0.458064516126077, 0.7603930461067571, 0.39664804469052156, 0.7345635202265901, 0.47678018575777587, 0.4922279792733362, 0.49450549450368314]","[0.4055052025899407, 0.652900687798041, 0.5309548788273888, 0.430828146940176, 0.3837837832948576, 0.7178023541211065, 0.368831168331712, 0.6948640478393625, 0.5146198825432252, 0.49608355041257357, 0.5113636358622804]",validation
32,0.5483630026142163,0.8460102078924436,"[0.4182389937104288, 0.6168224299053892, 0.5579710144914058, 0.4448598130836964, 0.3449612403087405, 0.7156937073535135, 0.4201680672233599, 0.6938775510198837, 0.5281582952807791, 0.46255506607827634, 0.4931972789098871]","[0.42035398230061927, 0.6680161943306315, 0.4792531120322007, 0.4311594202894645, 0.5741935483833923, 0.7135298563864599, 0.279329608936987, 0.6515259048966278, 0.5371517027855462, 0.5440414507757927, 0.5311355311335856]","[0.4192938204329041, 0.6413994164091681, 0.5156249995017288, 0.4379024834003634, 0.4309927356064936, 0.7146101433298917, 0.33557046931667495, 0.6720351385922436, 0.5326170371047438, 0.4999999995020862, 0.5114638442960598]",validation
34,0.5430100834059505,0.8504917216482012,"[0.413234301147594, 0.7025761124105326, 0.5226781857440115, 0.43129770992325256, 0.38323353293183693, 0.6847977684792993, 0.345971563979403, 0.6065192083814863, 0.5761316872416129, 0.6129032258039803, 0.4657142857129551]","[0.3868520859668857, 0.6072874493914833, 0.5020746887956389, 0.40942028985470164, 0.41290322580378774, 0.7422524565376097, 0.407821229048001, 0.7395315826822288, 0.433436532507069, 0.39378238341866895, 0.59706959706741]","[0.3996082267284904, 0.6514657975468339, 0.5121693116684303, 0.4200743489423274, 0.3975155274485359, 0.7123685160037395, 0.37435897386042083, 0.6664534692837973, 0.49469964615222434, 0.4794952676609777, 0.5232744778366162]",validation
36,0.5386530561434084,0.8472550728245986,"[0.40398550724613286, 0.6175869120641767, 0.4746376811585604, 0.47198879551754624, 0.4999999999959677, 0.6584553928091489, 0.34594594594407596, 0.6638418079091357, 0.4900398406367994, 0.5197740112979667, 0.5173611111093147]","[0.42288242730693876, 0.6113360323874265, 0.5435684647291628, 0.3052536231881293, 0.39999999999741936, 0.7475434618286111, 0.35754189943934334, 0.6671398154714925, 0.571207430339673, 0.47668393782259927, 0.5457875457855466]","[0.413218035324589, 0.6144455742698717, 0.5067698254200734, 0.3707370732299726, 0.4444444439474313, 0.7001769906519543, 0.3516483511465554, 0.6654867251632487, 0.5275196563999547, 0.4972972967968882, 0.5311942953986419]",validation
38,0.5422631644466576,0.8504917216482012,"[0.42507204610920385, 0.6535087719283914, 0.5520361990937737, 0.444314185228084, 0.42763157894455506, 0.6694329183951111, 0.35714285714089483, 0.6348704990520311, 0.49360613810678566, 0.47757847533525205, 0.4719471947179144]","[0.37294563843212836, 0.60323886639554, 0.5062240663889912, 0.3432971014489644, 0.41935483870697193, 0.7316704459556073, 0.3631284916180831, 0.7132718239881382, 0.5975232198133166, 0.5518134715011611, 0.5238095238076051]","[0.39730639680826313, 0.6273684205521108, 0.5281385276383219, 0.387327541664191, 0.42345276822693084, 0.6991693747261948, 0.3601108028221392, 0.6717914433515093, 0.5406162460023773, 0.5120192302706003, 0.4965277772774101]",validation
40,0.5384040831569775,0.8435204780281339,"[0.41601912731594975, 0.6620046620031189, 0.5064102564091744, 0.42587346553312005, 0.37777777777567906, 0.6860795454540581, 0.36241610738011804, 0.6360634081898044, 0.5676767676756209, 0.4657210401880243, 0.544680851061512]","[0.4399494310995955, 0.5748987854239375, 0.4917012448122579, 0.40851449275325313, 0.4387096774165245, 0.7301587301581782, 0.301675977651946, 0.6834634492543056, 0.4349845201231657, 0.510362694299196, 0.4688644688627514]","[0.4276497690853815, 0.6153846148857616, 0.4989473679201108, 0.41701340680450033, 0.40597014875409226, 0.7074331741612624, 0.32926829218510195, 0.6589120761337899, 0.4925503938987788, 0.48702101309687523, 0.5039370073748295]",validation
42,0.5318062990165567,0.8456367484127972,"[0.39199029126189805, 0.669047619046026, 0.5452127659559968, 0.428857715430432, 0.39080459769890347, 0.6662040249821887, 0.32748538011504397, 0.625798212004709, 0.5192307692300011, 0.5013404825723825, 0.5789473684180055]","[0.40834386852060156, 0.5688259109300227, 0.4253112033186197, 0.3876811594199387, 0.4387096774165245, 0.7256235827658915, 0.3128491620094254, 0.6955287437894283, 0.543343653249933, 0.48445595854796775, 0.402930402928927]","[0.3999999994999611, 0.6148796493925227, 0.47785547736199546, 0.40723120787386213, 0.41337385968152557, 0.6946454408896996, 0.31999999949843266, 0.6588235289127143, 0.5310136152331909, 0.4927536226872541, 0.4751619865550523]",validation
44,0.5413917589941492,0.8440184240009959,"[0.4242636746140082, 0.5646258503391758, 0.5374149659851759, 0.4117647058820019, 0.34782608695484146, 0.6841726618700114, 0.4015748031464443, 0.6524310118261154, 0.5570342205312604, 0.539358600581518, 0.50689655172239]","[0.3824273072058265, 0.6720647773265748, 0.4917012448122579, 0.4374999999996037, 0.4645161290292612, 0.7188208616774612, 0.28491620111572674, 0.7047551454927574, 0.4535603715163258, 0.4792746113977221, 0.5384615384595661]","[0.4022606377989497, 0.6136783728852642, 0.5135427947328098, 0.42424242374251075, 0.39779005475673823, 0.701068926886445, 0.33333333284559363, 0.6775844416701887, 0.49999999950438845, 0.5075445811190028, 0.5222024861771088]",validation
46,0.5344205153740819,0.8385410182995146,"[0.44207599629245403, 0.6214149139567469, 0.5053304904040398, 0.41666666666629726, 0.4504504504463923, 0.6047180667430353, 0.30136986301232255, 0.6249209361159868, 0.5692307692296745, 0.4816625916858639, 0.5312499999979249]","[0.3015170670036021, 0.6578947368407735, 0.4917012448122579, 0.4257246376807738, 0.3225806451592092, 0.7944066515489082, 0.36871508379682283, 0.7012065294530154, 0.4582043343646158, 0.510362694299196, 0.4981684981666734]","[0.35851183717261303, 0.6391347094303197, 0.49842271243279923, 0.42114695290469834, 0.3759398491349144, 0.6867036911127927, 0.33165829096067023, 0.6608695647186038, 0.5077186959029094, 0.4955974837759013, 0.5141776932603872]",validation
48,0.5369102452383916,0.8455122619195817,"[0.41079365079339, 0.6237218813893175, 0.5141612200424528, 0.4142480211078151, 0.38271604938035364, 0.6564417177909636, 0.366863905323273, 0.657162253903152, 0.5545454545444463, 0.5135135135119715, 0.5616438356138738]","[0.4089759797721814, 0.6174089068813413, 0.4896265560155817, 0.42663043478222223, 0.39999999999741936, 0.7278911564620348, 0.3463687150818639, 0.6870120652940476, 0.47213622290948587, 0.4430051813460026, 0.4505494505478002]","[0.40988279962644536, 0.6205493382576516, 0.5015940483833984, 0.4203480584020091, 0.39116719192679805, 0.6903225801459983, 0.3563218385788248, 0.6717557246906201, 0.5100334443184221, 0.47566063927886254, 0.4999999995039906]",validation
50,0.5269513257811528,0.8451388024399352,"[0.388633754305173, 0.6294820717118935, 0.5181818181806405, 0.40276301806545933, 0.41666666666377317, 0.686685962372875, 0.37185929648054344, 0.6310088016244881, 0.5205479452045881, 0.47695852534452315, 0.5691489361671854]","[0.4279393173195778, 0.639676113359029, 0.47302904564217213, 0.3432971014489644, 0.38709677419105104, 0.7173091458800323, 0.41340782122674075, 0.6614620298079052, 0.47058823529338917, 0.5362694300504242, 0.39194139193995625]","[0.4073405530508532, 0.6345381521091998, 0.49457700600755694, 0.3706601462020806, 0.4013377921401327, 0.70166358545166, 0.3915343910337197, 0.6458766453764758, 0.4943089425898976, 0.5048780482809696, 0.4642082424650929]",validation
52,0.5215984065728868,0.8382920453130835,"[0.3930029154516659, 0.6480686695265063, 0.47810218978014946, 0.40480591497189944, 0.39010989010774666, 0.7034834324547974, 0.30917874395985906, 0.6312703583057777, 0.5357142857132228, 0.46954314720693013, 0.5695067264548452]","[0.42604298356483816, 0.6113360323874265, 0.5435684647291628, 0.39673913043442327, 0.458064516126077, 0.6258503401355814, 0.35754189943934334, 0.687721788501996, 0.41795665634610224, 0.4792746113977221, 0.4652014651997612]","[0.40885653574563696, 0.6291666661657813, 0.5087378635787351, 0.40073192996628976, 0.42136498466391364, 0.6623999995011753, 0.33160621711749316, 0.6582880429787296, 0.46956521689811115, 0.47435897385781073, 0.5120967736965644]",validation
54,0.529067596165816,0.8414042076434707,"[0.39637305699456193, 0.6447368421038493, 0.489908256879835, 0.4032997250225451, 0.4277108433709174, 0.6610407876226012, 0.4025974025947884, 0.6424322537999719, 0.5315985130101644, 0.4921874999987183, 0.5318181818157645]","[0.3868520859668857, 0.5951417004036536, 0.5539419087125437, 0.39855072463732016, 0.458064516126077, 0.7105064247916021, 0.3463687150818639, 0.6898509581258412, 0.44272445820364903, 0.4896373056982134, 0.42857142856985875]","[0.39155470199502496, 0.6189473679205495, 0.5199610511074901, 0.4009111612308595, 0.4423676007439369, 0.6848816024145412, 0.37237237187295413, 0.6652977407732785, 0.4831081076114523, 0.49090909040781927, 0.47464502992981666]",validation
56,0.5260799203286444,0.8380430723266525,"[0.3933130699085755, 0.6493506493492438, 0.464412811387074, 0.40872560275498426, 0.3891891891870855, 0.6719538572453699, 0.3511904761883858, 0.6022458628838048, 0.5510597302494199, 0.5236593059920389, 0.5688888888863605]","[0.4089759797721814, 0.6072874493914833, 0.5414937759324865, 0.3224637681156499, 0.4645161290292612, 0.7044595616018863, 0.32960893854564466, 0.7232079488994158, 0.44272445820364903, 0.43005181347038846, 0.4688644688627514]","[0.4009916325956967, 0.6276150622607535, 0.499999999501978, 0.360506328620518, 0.42352941126610727, 0.6878228777285534, 0.3400576363861506, 0.6572073519706865, 0.4909871239686183, 0.4722617349231034, 0.514056224402179]",validation
58,0.5253330013693515,0.8382920453130835,"[0.3993548387094198, 0.6015936254968096, 0.49193548386997593, 0.38181818181787996, 0.375690607732731, 0.6611796982162818, 0.39655172413451245, 0.6589147286817062, 0.5842956120078885, 0.4865591397836383, 0.5186721991679724]","[0.3912768647279448, 0.6113360323874265, 0.5062240663889912, 0.4374999999996037, 0.4387096774165245, 0.7286470143607493, 0.25698324022202806, 0.6635911994317505, 0.39164086687245875, 0.4689119170972308, 0.4578754578737807]","[0.39527458442955715, 0.6064257023100595, 0.4989775046115565, 0.40776698979322723, 0.40476190426248937, 0.6932757995725962, 0.31186440630035056, 0.6612446953976998, 0.46895273353159006, 0.4775725588656651, 0.4863813224572439]",validation
